iter	Passed	Remaining
0	419	83533
1	564	55881
2	758	49797
3	885	43369
4	1007	39285
5	1134	36677
6	1243	34281
7	1347	32333
8	1456	30914
9	1577	29968
10	1688	29015
11	1809	28346
12	1915	27559
13	2031	26984
14	2162	26676
15	2278	26198
16	2396	25795
17	2499	25276
18	2611	24881
19	2719	24471
20	2821	24053
21	2955	23909
22	3056	23519
23	3174	23276
24	3287	23013
25	3413	22847
26	3537	22667
27	3633	22318
28	3742	22065
29	3848	21807
30	3969	21640
31	4078	21411
32	4187	21190
33	4287	20931
34	4399	20742
35	4515	20570
36	4654	20505
37	4778	20371
38	4885	20167
39	4997	19991
40	5111	19824
41	5220	19640
42	5344	19515
43	5474	19409
44	5587	19246
45	5704	19097
46	5825	18965
47	5933	18788
48	6045	18630
49	6173	18520
50	6263	18299
51	6374	18142
52	6486	17990
53	6597	17836
54	6705	17677
55	6830	17563
56	6951	17438
57	7059	17283
58	7182	17165
59	7301	17036
60	7394	16850
61	7498	16690
62	7618	16566
63	7730	16426
64	7826	16254
65	7933	16107
66	8050	15981
67	8168	15857
68	8278	15716
69	8366	15537
70	8475	15399
71	8586	15264
72	8709	15151
73	8803	14990
74	8912	14853
75	9024	14724
76	9113	14557
77	9203	14395
78	9317	14270
79	9430	14146
80	9524	13992
81	9640	13872
82	9730	13716
83	9819	13559
84	9906	13402
85	10024	13288
86	10111	13133
87	10213	12998
88	10305	12853
89	10394	12704
90	10488	12563
91	10581	12422
92	10691	12301
93	10780	12156
94	10893	12040
95	10980	11895
96	11071	11756
97	11163	11619
98	11258	11485
99	11376	11376
100	11492	11264
101	11594	11139
102	11710	11028
103	11827	10917
104	11942	10804
105	12044	10680
106	12132	10545
107	12253	10437
108	12352	10313
109	12445	10182
110	12536	10051
111	12624	9919
112	12721	9794
113	12816	9668
114	12919	9548
115	13015	9425
116	13106	9297
117	13197	9171
118	13284	9042
119	13377	8918
120	13466	8792
121	13560	8669
122	13648	8543
123	13756	8431
124	13838	8303
125	13925	8178
126	14017	8057
127	14111	7937
128	14199	7815
129	14288	7693
130	14378	7573
131	14475	7457
132	14569	7339
133	14655	7218
134	14742	7098
135	14838	6982
136	14925	6863
137	15012	6744
138	15110	6631
139	15202	6515
140	15290	6398
141	15386	6284
142	15478	6169
143	15573	6056
144	15660	5940
145	15757	5828
146	15853	5715
147	15945	5602
148	16040	5490
149	16130	5376
150	16225	5265
151	16313	5151
152	16408	5040
153	16500	4928
154	16591	4816
155	16682	4705
156	16769	4592
157	16861	4482
158	16955	4372
159	17043	4260
160	17140	4152
161	17228	4041
162	17317	3930
163	17411	3822
164	17497	3711
165	17592	3603
166	17681	3494
167	17771	3384
168	17862	3276
169	17952	3168
170	18040	3059
171	18135	2952
172	18231	2845
173	18319	2737
174	18412	2630
175	18498	2522
176	18585	2415
177	18679	2308
178	18766	2201
179	18856	2095
180	18954	1989
181	19042	1883
182	19137	1777
183	19230	1672
184	19329	1567
185	19418	1461
186	19505	1355
187	19595	1250
188	19684	1145
189	19773	1040
190	19861	935
191	19947	831
192	20038	726
193	20126	622
194	20216	518
195	20304	414
196	20393	310
197	20482	206
198	20570	103
199	20658	0
